time;ax;ay;az;I;Gain;Latitude;Longitude;Speed
207,422305;-1,075;0,4756;0,5473;10398,8232;-4439,9102;50,26435823;10,94962735;1,38999999
208,408489;-0,6041;-1,3972;-2,8154;10518,9434;-4463,7866;50,26434561;10,9496298;1,37
209,400986;-1,5285;-2,2937;2,9364;9930,8994;-4495,6216;50,26433293;10,94963507;1,39999998
224,779336;2,3275;-0,3053;-3,2372;14828,5264;-4885,603;50,26429799;10,94965828;1,38999999
225,82586;-0,4272;-1,5147;1,8911;15098,248;-4917,438;50,26416965;10,95030428;1,48000002
227,071652;-0,6743;-1,254;-1,1322;14682,7451;-4949,2734;50,26417168;10,9503701;1,52999997
228,08363;0,2312;-0,2242;2,9542;14668,002;-4981,1084;50,26417666;10,95040134;1,39999998
229,079182;0,2742;1,0066;0,7407;17306,2754;-5004,9849;50,26418735;10,9504098;1,38
230,057016;-0,9867;0,5452;-3,7609;18030,8184;-5028,8613;50,26419695;10,95047525;1,40999997
231,079269;0,9602;-0,3809;-2,3054;18130,1895;-5060,6968;50,26420145;10,95049628;1,45000005
232,12031;1,1868;-1,4012;-1,1538;17811,3262;-5084,5728;50,26420452;10,95051894;1,51999998
233,070383;1,9672;-0,0061;3,533;18310,916;-5108,4492;50,26420424;10,95054229;1,55999994
234,062792;-1,3632;0,2611;-0,3161;21357,0527;-5140,2847;50,26420219;10,9505678;1,63
235,072334;-0,0741;-0,2926;-2,9166;21098,7949;-5164,1611;50,26420274;10,95058629;1,38
236,130593;-0,3018;-0,8861;-2,4486;21321,0176;-5188,0376;50,26420672;10,95060438;1,40999997
237,122459;-1,0371;-0,909;-0,0381;19862,6504;-5219,8726;50,26420948;10,95062427;1,42999995
238,059983;-0,4975;1,5806;2,5653;19559,0742;-5243,749;50,26421142;10,95064376;1,40999997
239,116661;0,0219;1,2744;0,8511;20724,2383;-5275,584;50,26421559;10,95066402;1,48000002
240,070922;-0,2144;-0,4746;-3,1027;23675,373;-5299,4604;50,26422092;10,95068409;1,49000001
241,115099;0,0887;0,3277;-4,0432;24034,6406;-5323,3369;50,26422361;10,95070603;1,38999999
242,066573;1,7983;0,4786;4,9322;21560,1641;-5347,2134;50,2642276;10,95072813;1,46000004
243,119918;-0,8336;0,5058;2,1906;18707,3125;-5379,0483;50,2642339;10,95074871;1,42999995
244,079046;0,2871;0,0442;-3,6894;18016,0762;-5402,9248;50,26424333;10,95076463;1,46000004
245,12186;-0,5463;0,6857;-4,1744;16969,9395;-5434,7603;50,26424281;10,95078931;1,67999995
246,076266;-0,7118;-1,4958;1,9789;14574,0889;-5458,6367;50,26424671;10,95081245;1,50999999
247,069296;0,5064;0,623;3,7758;13605,4844;-5482,5132;50,2642502;10,95083491;1,53999996
248,004377;-1,1299;0,7577;2,2818;13449,3301;-5506,3892;50,26425286;10,95085923;1,5
249,062643;0,3962;0,5041;-4,5475;16010,0713;-5530,2656;50,26425413;10,95088091;1,5
250,051848;1,8776;-0,7538;-0,145;16943,1855;-5562,1011;50,2642561;10,95090179;1,47000003
251,124609;0,6044;-0,2702;-3,5995;17082,9609;-5585,9775;50,26425967;10,95092147;1,51999998
252,112811;1,6938;0,7709;2,395;18562,0762;-5617,8125;50,2642625;10,95094411;1,49000001
253,132407;1,0724;-0,1199;1,7954;25508,8418;-5641,689;50,26426598;10,95096563;1,46000004
254,115835;-0,6162;0,3798;-3,3148;26653,8047;-5665,5654;50,26427202;10,9509841;1,44000006
273,113582;0,1009;0,8304;4,9716;35680,2852;-6159,0107;50,26428225;10,95100138;1,5
274,233018;-0,4908;1,3795;-4,2823;25404,5547;-6198,8052;50,26448406;10,95175518;0,83999997
274,848663;-1,1622;0,4709;0,7517;22655,9883;-6206,7637;50,26450029;10,95176155;1,09000003
275,845617;-0,504;-0,1161;-3,3253;21759,4551;-6238,5991;50,26447789;10,95175617;1,45000005
276,835343;-1,0578;-0,8024;-0,2687;25770,377;-6262,4756;50,26447278;10,95173241;1,50999999
277,906198;-1,1233;-1,1618;-0,4858;21531,7734;-6286,3516;50,26448727;10,95177232;1,62
278,896748;-0,1545;0,2398;4,2848;20042,2852;-6318,187;50,2644822;10,95179614;1,5
279,841278;-0,4801;0,7849;-1,4089;37339,582;-6342,0635;50,26448596;10,95181274;1,38999999
280,901146;-0,5183;0,9442;-1,096;17059,4844;-6365,9399;50,2644913;10,95182973;1,5
281,844897;2,2209;-1,2987;-1,1198;16026,9961;-6397,7759;50,26449563;10,95184977;1,49000001
282,895728;1,1729;-2,8268;2,049;16202,2617;-6421,6978;50,26449935;10,95186943;1,5
283,896144;3,2278;0,0212;3,5928;16435,9512;-6445,7803;50,26450122;10,9518929;1,50999999
284,897662;-0,8608;0,669;1,9779;13337,9434;#NAME?;50,26450442;10,95191394;1,5
285,888577;-0,0085;0,0767;-3,6337;13055,6621;#NAME?;50,26450725;10,95193626;1,54999995
286,84248;-1,3227;-1,1488;0,6082;12449,0547;#NAME?;50,26451133;10,95195855;1,50999999
287,895062;-1,3935;-1,0274;-0,6277;12427,2148;#NAME?;50,26451471;10,95198129;1,61000001
288,896472;-0,2423;0,3414;5,3998;14627,0518;#NAME?;50,26452084;10,95200421;1,50999999
289,910395;-0,3571;1,5742;1,6987;13529,5908;#NAME?;50,26452856;10,95202439;1,49000001
290,891863;-0,3361;0,8679;-5,0102;16583,3711;#NAME?;50,26453667;10,95204305;1,49000001
291,910279;-0,0619;-0,3934;-1,9717;15162,1318;#NAME?;50,26454216;10,95206224;1,51999998
292,904549;0,9955;-1,4697;1,1163;14708,4043;#NAME?;50,26454917;10,95208152;1,51999998
293,847599;0,5077;0,2891;2,0301;15631,1455;#NAME?;50,26455389;10,95209961;1,45000005
294,835963;-1,6402;0,4154;-3,3888;17442,2285;#NAME?;50,26455861;10,95211833;1,50999999
295,823365;0,2696;0,3147;-4,091;20200,0781;#NAME?;50,26456371;10,95213926;1,52999997
296,895755;0,4205;0,3013;-1,5456;12740,6201;#NAME?;50,26457284;10,95215599;1,51999998
297,888782;0,1229;-2,43;0,5854;12609,5801;#NAME?;50,2645795;10,9521727;1,50999999
298,843043;0,0108;1,6424;2,4081;17968,5742;#NAME?;50,26458313;10,95219139;1,51999998
299,820704;-0,2966;0,8697;-2,3575;29911,2422;#NAME?;50,26459075;10,95220126;1,47000003
300,841221;0,2139;0,1564;-3,9605;29708,6777;#NAME?;50,26459846;10,95221396;1,5
301,830373;0,1792;-1,1246;0,6736;23879,0293;#NAME?;50,26460558;10,95222984;1,47000003
302,847126;1,3691;-1,0236;2,9301;23613,6738;#NAME?;50,26461266;10,95224704;1,48000002
304,620611;-0,2039;0,3523;2,337;41001,6094;#NAME?;50,26461976;10,95226373;1,44000006
304,899387;1,0747;-0,1956;3,1134;39793,3086;#NAME?;50,26462766;10,95227927;1,48000002
305,901002;-0,2281;0,9121;-0,1487;33064,3984;#NAME?;50,26463464;10,95229528;1,48000002
306,841068;-1,0357;-1,3294;0,1377;35153,3984;#NAME?;50,26464136;10,95230917;1,48000002
307,894615;-1,535;-1,8747;3,1802;24317,4688;#NAME?;50,26464558;10,95232508;1,51999998
308,960866;-0,5924;-0,9793;1,1743;22034,6406;#NAME?;50,26464966;10,95234557;1,49000001
309,899272;0,281;-0,4504;2,4573;23868,6562;#NAME?;50,26465307;10,95236567;1,48000002
310,886927;-0,0911;0,7952;2,4026;37851,7344;#NAME?;50,26465878;10,95238106;1,48000002
311,911455;-0,3379;1,1308;-0,2665;21193,252;#NAME?;50,26466395;10,95240012;1,48000002
312,953364;-0,7976;0,2243;-4,1434;29705,4023;#NAME?;50,26467083;10,95241865;1,47000003
313,901751;0,4945;-0,7021;1,4403;12420,6631;#NAME?;50,26467653;10,95243684;1,49000001
314,96114;1,5685;0,3077;2,4356;11708,1318;#NAME?;50,26468119;10,95245411;1,47000003
315,908986;0,903;-0,119;1,4431;30059,7578;#NAME?;50,26468478;10,95247541;1,48000002
316,892064;-0,8164;0,0695;-3,0395;34127,4609;#NAME?;50,26468617;10,95249788;1,47000003
317,947325;-1,3359;-0,3044;-4,6986;35836,9922;#NAME?;50,26469165;10,95251809;1,47000003
318,901195;-0,5344;-0,4617;-1,7195;34474,7188;#NAME?;50,26469647;10,95254135;1,47000003
319,944331;-1,1008;-1,1809;0,3615;36712,7734;#NAME?;50,26470089;10,95256308;1,46000004
320,96331;0,3876;0,312;2,4971;28998,877;#NAME?;50,26470367;10,95258347;1,47000003
321,886587;-1,0818;1,5612;2,9744;42572,9961;#NAME?;50,26470746;10,95260424;1,50999999
322,964572;-0,3029;1,5225;3,1399;38057,0273;#NAME?;50,26470962;10,95262493;1,50999999
323,955255;-0,3689;0,5039;-4,1664;39340,6758;#NAME?;50,26471185;10,95264516;1,52999997
324,94686;-0,143;1,0251;-5,2893;45695,5781;#NAME?;50,26471438;10,95266428;1,52999997
325,951876;1,4186;-0,6535;0,111;43450,4219;#NAME?;50,26471623;10,95268531;1,51999998
326,90246;0,8207;-0,4757;2,4707;45357,0586;#NAME?;50,2647181;10,95270938;1,50999999
327,897971;-0,7866;-0,1572;0,9965;39992,6016;#NAME?;50,26472139;10,95272983;1,48000002
328,954703;-0,8883;0,7926;-3,0235;43508,2969;#NAME?;50,2647265;10,95274811;1,50999999
329,893489;0,3092;-0,3583;-3,4083;44994,5117;#NAME?;50,26472983;10,95277056;1,53999996
331,01168;0,8667;-0,1795;-3,2496;40810,5078;#NAME?;50,26473452;10,95279115;1,50999999
331,969888;-1,4372;-0,6969;0,6172;46150,9414;#NAME?;50,26473769;10,95281076;1,47000003
332,948932;-0,6961;0,7355;3,7138;50150,3945;#NAME?;50,26474292;10,95282843;1,45000005
333,964915;-0,272;0,4475;-0,8687;50376,9844;#NAME?;50,26474773;10,95284632;1,48000002
351,559458;1,5507;-1,283;2,9365;19603,3008;#NAME?;50,2647491;10,95286598;1,49000001
352,609989;-1,3605;1,1812;4,355;21691,2051;#NAME?;50,26484084;10,95362061;1,15999997
353,803008;-0,7895;-1,9427;1,1941;26388,4492;#NAME?;50,26485868;10,953587;1,44000006
356,766414;2,4278;-1,0459;0,8384;22117,0859;#NAME?;50,26487336;10,95359729;1,54999995
357,794664;0,5169;-0,8766;2,2387;12980,8594;#NAME?;50,26487805;10,95362791;1,42999995
358,766501;1,7276;-0,8605;2,6061;12031,3643;#NAME?;50,26487904;10,95364676;1,39999998
359,789717;-0,3984;-0,3885;-4,35;8174,416;#NAME?;50,26488127;10,95366545;1,36000001
360,712441;-0,4742;-1,6191;0,6012;7209,0874;#NAME?;50,26488522;10,95368287;1,40999997
361,792252;-1,676;-1,042;1,9771;9404,0098;#NAME?;50,26488942;10,95370039;1,41999996
362,782761;-1,4415;0,9849;2,9323;7679,7397;#NAME?;50,26489407;10,95371622;1,25
363,761349;-0,3641;0,9387;-1,7208;20645,0684;#NAME?;50,26489806;10,95373311;1,35000002
364,770825;0,446;0,7446;-4,7231;21923,2559;#NAME?;50,26490338;10,9537512;1,46000004
365,771162;1,6989;-1,2538;1,9934;18176,5996;#NAME?;50,26491052;10,95376711;1,40999997
366,779714;1,2472;0,4737;2,4632;26540,7832;#NAME?;50,26491906;10,95378047;1,38
367,765449;-0,0769;0,6138;-2,4882;13054,5693;#NAME?;50,26493077;10,95378667;1,41999996
368,713151;1,3951;-0,4821;-3,8538;11519,7627;#NAME?;50,26494355;10,95378615;1,36000001
369,771989;-0,4814;-1,0751;-0,7069;11439,5;#NAME?;50,26495639;10,9537803;1,40999997
370,792362;-1,6151;-1,8983;4,3658;9832,0752;#NAME?;50,26496914;10,95376784;1,40999997
371,772886;-0,4819;1,2971;3,5575;10884,2168;#NAME?;50,26498511;10,95376776;2,06999993
372,72002;0,3069;0,1485;-4,2403;10532,0469;#NAME?;50,26499893;10,9537715;1,38
373,770989;1,6302;-1,0647;-0,6078;10509,1152;#NAME?;50,26500944;10,9537673;1,30999994
374,782228;2,8265;-1,7935;2,4375;11863,7422;#NAME?;50,26501872;10,95377803;2,11999989
375,777994;0,1464;0,3857;2,9921;11906,3301;#NAME?;50,26502907;10,95378595;1,54999995
376,762236;-0,2003;0,5232;-2,504;13064,9434;#NAME?;50,26504013;10,95377484;1,51999998
377,781981;-0,2634;-1,982;-2,2153;10395,001;#NAME?;50,26505164;10,95377167;1,80999994
378,696594;-0,5476;-0,9559;2,63;10942,6396;#NAME?;50,26506097;10,95376298;1,45000005
379,777329;-1,3012;1,3816;3,6053;10545,1514;#NAME?;50,2650712;10,95375857;1,73000002
380,693094;-0,2134;0,4214;-3,2769;11910,7002;#NAME?;50,2650816;10,95374895;1,5
382,164991;0,743;1,1992;4,6607;10463,7969;#NAME?;50,26508999;10,95373227;1,37
382,69844;0,875;0,4293;4,4967;10833,4395;#NAME?;50,26509864;10,95371894;1,21000004
383,700168;0,5988;1,2226;-0,1324;11352,1406;#NAME?;50,26510754;10,95370876;1,20000005
384,718917;-0,8628;-1,4538;-2,7858;10001,8809;#NAME?;50,26511613;10,95370166;1,23000002
385,704013;-1,3914;-1,464;3,0167;10661,9951;#NAME?;50,26512491;10,95369845;1,19000006
386,716164;-0,3156;1,2674;3,617;10616,1309;#NAME?;50,26513384;10,95369155;1,29999995
